,File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
173824,oa_package/8d/4b/PMC2606835.tar.gz,Diabetes Care. 2009 Jan; 32(1):81-83,PMC2606835,2011-01-12 03:04:42,18852338.0,CC BY-NC-ND
173825,oa_package/f2/9a/PMC2606836.tar.gz,Diabetes Care. 2009 Jan; 32(1):84-90,PMC2606836,2013-04-03 13:49:29,18931095.0,CC BY-NC-ND
173826,oa_package/05/1f/PMC2606837.tar.gz,Diabetes Care. 2009 Jan; 32(1):91-93,PMC2606837,2009-12-31 19:22:19,18945921.0,CC BY-NC-ND
173827,oa_package/d8/02/PMC2606838.tar.gz,Diabetes Care. 2009 Jan; 32(1):94-99,PMC2606838,2013-04-03 13:49:29,18835948.0,CC BY-NC-ND
173828,oa_package/a2/ae/PMC2606839.tar.gz,Diabetes Care. 2009 Jan; 32(1):100-105,PMC2606839,2013-04-03 13:49:29,18835946.0,CC BY-NC-ND
173829,oa_package/b0/14/PMC2606840.tar.gz,Diabetes Care. 2009 Jan; 32(1):106-110,PMC2606840,2013-04-03 13:49:29,18835945.0,CC BY-NC-ND
173830,oa_package/bf/e3/PMC2606841.tar.gz,Diabetes Care. 2009 Jan; 32(1):111-116,PMC2606841,2013-04-03 13:49:29,18931102.0,CC BY-NC-ND
173831,oa_package/b8/0a/PMC2606842.tar.gz,Diabetes Care. 2009 Jan; 32(1):117-119,PMC2606842,2011-01-12 03:04:49,18835949.0,CC BY-NC-ND
173832,oa_package/cc/2d/PMC2606843.tar.gz,Diabetes Care. 2009 Jan; 32(1):120-122,PMC2606843,2013-05-18 00:10:16,18852337.0,CC BY-NC-ND
173833,oa_package/5f/22/PMC2606844.tar.gz,Diabetes Care. 2009 Jan; 32(1):123-125,PMC2606844,2011-01-12 03:04:50,18840770.0,CC BY-NC-ND
173834,oa_package/b1/f7/PMC2606845.tar.gz,Diabetes Care. 2009 Jan; 32(1):126-128,PMC2606845,2013-04-03 13:49:29,18840768.0,CC BY-NC-ND
173835,oa_package/4a/21/PMC2606846.tar.gz,Diabetes Care. 2009 Jan; 32(1):129-131,PMC2606846,2009-12-31 19:22:19,18852336.0,CC BY-NC-ND
173836,oa_package/1c/80/PMC2606847.tar.gz,Diabetes Care. 2009 Jan; 32(1):132-134,PMC2606847,2013-04-03 13:49:29,18931100.0,CC BY-NC-ND
173837,oa_package/d3/1f/PMC2606848.tar.gz,Diabetes Care. 2009 Jan; 32(1):135-137,PMC2606848,2013-04-03 13:49:29,18945924.0,CC BY-NC-ND
173838,oa_package/01/9b/PMC2606849.tar.gz,Diabetes Care. 2009 Jan; 32(1):138-140,PMC2606849,2009-12-31 19:22:19,18945925.0,CC BY-NC-ND
173839,oa_package/0e/30/PMC2606850.tar.gz,Diabetes Care. 2009 Jan; 32(1):141-146,PMC2606850,2013-04-03 13:49:29,18852333.0,CC BY-NC-ND
173840,oa_package/41/db/PMC2606851.tar.gz,Diabetes Care. 2009 Jan; 32(1):147-152,PMC2606851,2013-04-03 13:49:29,18835952.0,CC BY-NC-ND
173841,oa_package/ed/87/PMC2606852.tar.gz,Diabetes Care. 2009 Jan; 32(1):153-159,PMC2606852,2011-01-12 03:04:58,18931101.0,CC BY-NC-ND
173842,oa_package/8d/46/PMC2606853.tar.gz,Diabetes Care. 2009 Jan; 32(1):160-164,PMC2606853,2011-01-12 03:04:59,18945926.0,CC BY-NC-ND
173843,oa_package/34/4f/PMC2606854.tar.gz,Diabetes Care. 2009 Jan; 32(1):165-168,PMC2606854,2013-04-03 13:49:29,18984777.0,CC BY-NC-ND
199883,oa_package/01/0a/PMC2707857.tar.gz,Neurol Sci. 2009 Aug 15; 30(4):325-328,PMC2707857,2010-12-28 10:02:54,19444382.0,NO-CC CODE
199890,oa_package/dc/02/PMC2707949.tar.gz,Support Care Cancer. 2009 Aug 23; 17(8):1089-1099,PMC2707949,2011-03-01 20:21:32,19104843.0,NO-CC CODE
199892,oa_package/e9/17/PMC2707951.tar.gz,Support Care Cancer. 2009 Aug 18; 17(8):1041-1048,PMC2707951,2013-04-03 15:14:05,19015892.0,NO-CC CODE
199893,oa_package/62/74/PMC2707952.tar.gz,Vet Res Commun. 2009 Aug 16; 33(6):489-505,PMC2707952,2013-04-03 15:14:05,19085068.0,NO-CC CODE
220971,oa_package/51/4e/PMC2777207.tar.gz,Biomed Microdevices. 2009 Oct 23; 11(5):1135-1143,PMC2777207,2014-10-27 13:50:49,19548088.0,NO-CC CODE
220977,oa_package/e3/0b/PMC2777213.tar.gz,Biomed Microdevices. 2009 Oct 3; 11(5):1127-1134,PMC2777213,2013-04-03 16:19:36,19495986.0,NO-CC CODE
220982,oa_package/fd/9e/PMC2777219.tar.gz,J Autism Dev Disord. 2009 Dec 7; 39(12):1636-1651,PMC2777219,2013-04-03 16:19:37,19582564.0,NO-CC CODE
221543,oa_package/37/20/PMC2778696.tar.gz,J Mater Sci Mater Med. 2009 Nov 24; 20(11):2353-2360,PMC2778696,2014-10-27 13:50:49,19554428.0,NO-CC CODE
221575,oa_package/74/58/PMC2778774.tar.gz,Support Care Cancer. 2010 Jan 23; 18(1):121-130,PMC2778774,2010-12-29 18:00:34,19387693.0,NO-CC CODE
221579,oa_package/c9/85/PMC2778778.tar.gz,Support Care Cancer. 2010 Jan 25; 18(1):37-42,PMC2778778,2010-12-29 18:00:40,19396473.0,NO-CC CODE
237362,oa_package/ae/fc/PMC2829485.tar.gz,BMC Complement Altern Med. 2010 Jan 13; 10:2,PMC2829485,2013-04-03 17:11:57,20070879.0,CC BY
249692,oa_package/b2/ed/PMC2868783.tar.gz,BMC Biochem. 2010 Mar 29; 11:16,PMC2868783,2018-03-19 13:22:29,20350304.0,CC BY
252752,oa_package/ba/7a/PMC2877661.tar.gz,BMC Neurol. 2010 Apr 30; 10:28,PMC2877661,2013-04-03 18:02:51,20433746.0,CC BY
253705,oa_package/9a/3a/PMC2880415.tar.gz,BMC Biochem. 2010 Mar 29; 11:15,PMC2880415,2018-03-19 13:22:54,20350305.0,CC BY
273757,oa_package/68/d6/PMC2940883.tar.gz,BMC Med Res Methodol. 2010 Aug 26; 10:78,PMC2940883,2013-05-18 05:38:41,20796297.0,CC BY
274244,oa_package/b4/d2/PMC2942894.tar.gz,BMC Med Res Methodol. 2010 Aug 26; 10:77,PMC2942894,2016-01-28 11:56:31,20738884.0,CC BY
274776,oa_package/6a/f4/PMC2944306.tar.gz,BMC Med Res Methodol. 2010 Sep 3; 10:79,PMC2944306,2011-01-06 07:43:57,20815883.0,CC BY
274777,oa_package/cc/c7/PMC2944307.tar.gz,BMC Med Res Methodol. 2010 Sep 7; 10:80,PMC2944307,2011-01-06 07:43:58,20819238.0,CC BY
278360,oa_package/93/72/PMC2954918.tar.gz,BMC Med Res Methodol. 2010 Sep 17; 10:81,PMC2954918,2011-01-06 14:11:21,20846460.0,CC BY
278708,oa_package/a8/62/PMC2955656.tar.gz,BMC Med Res Methodol. 2010 Sep 27; 10:83,PMC2955656,2013-04-03 19:33:33,20868527.0,CC BY
278709,oa_package/f4/c4/PMC2955657.tar.gz,BMC Med Res Methodol. 2010 Sep 27; 10:84,PMC2955657,2013-04-03 19:33:33,20868528.0,CC BY
278710,oa_package/5c/97/PMC2955658.tar.gz,BMC Med Res Methodol. 2010 Sep 27; 10:85,PMC2955658,2013-04-03 19:33:33,20875119.0,CC BY
278711,oa_package/97/2b/PMC2955659.tar.gz,BMC Med Res Methodol. 2010 Sep 29; 10:86,PMC2955659,2013-04-03 19:33:33,20920243.0,CC BY
284753,oa_package/4a/e4/PMC2965702.tar.gz,BMC Med Genomics. 2010 Oct 13; 3:45,PMC2965702,2013-04-03 19:41:21,20942928.0,CC BY
290043,oa_package/4a/e6/PMC2975660.tar.gz,BMC Microbiol. 2010 Oct 22; 10:268,PMC2975660,2012-06-25 16:06:12,20969756.0,CC BY
290121,oa_package/db/6f/PMC2976055.tar.gz,J Epidemiol Community Health. 2010 Sep 12; 64(9):821-828,PMC2976055,2013-04-03 19:48:44,19822554.0,CC BY-NC
290124,oa_package/9b/51/PMC2976067.tar.gz,J Epidemiol Community Health. 2010 Nov 11; 64(11):963-969,PMC2976067,2015-12-15 15:01:17,19822561.0,CC BY-NC
296868,oa_package/7c/22/PMC2991774.tar.gz,Arthritis Res Ther. 2010 Apr 14; 12(Suppl 1):S1,PMC2991774,2013-04-03 20:04:52,20392288.0,NO-CC CODE
296869,oa_package/72/cb/PMC2991775.tar.gz,Arthritis Res Ther. 2010 Apr 14; 12(Suppl 1):S2,PMC2991775,2013-04-03 20:04:53,20392289.0,NO-CC CODE
296870,oa_package/3b/ba/PMC2991776.tar.gz,Arthritis Res Ther. 2010 Apr 14; 12(Suppl 1):S3,PMC2991776,2012-09-12 20:14:53,20392290.0,NO-CC CODE
296871,oa_package/6b/ba/PMC2991777.tar.gz,Arthritis Res Ther. 2010 Apr 14; 12(Suppl 1):S4,PMC2991777,2013-04-03 20:04:53,20392291.0,NO-CC CODE
296873,oa_package/14/f2/PMC2991779.tar.gz,Arthritis Res Ther. 2010 Apr 14; 12(Suppl 1):S6,PMC2991779,2013-04-03 20:04:53,20392292.0,NO-CC CODE
299185,oa_package/2f/7c/PMC2996398.tar.gz,Biomed Eng Online. 2010 Nov 11; 9:70,PMC2996398,2013-04-03 20:09:36,21070668.0,CC BY
312372,oa_package/65/e4/PMC3022886.tar.gz,BMC Cardiovasc Disord. 2011 Jan 10; 11:2,PMC3022886,2011-06-07 21:14:12,21639867.0,CC BY
323309,oa_package/62/fd/PMC3050690.tar.gz,BMC Microbiol. 2011 Feb 11; 11:33,PMC3050690,2013-11-07 02:04:57,21314918.0,CC BY
327425,oa_package/b8/6a/PMC3058531.tar.gz,Biochemistry. 2011 Jan 18; 50(2):240-249,PMC3058531,2013-03-28 05:45:38,21128685.0,NO-CC CODE
330403,oa_package/11/f5/PMC3066641.tar.gz,Anal Chem. 2011 Mar 1; 83(5):1649-1657,PMC3066641,2013-03-28 05:55:33,21314130.0,NO-CC CODE
334801,oa_package/14/33/PMC3080827.tar.gz,Virol J. 2011 Mar 31; 8:148,PMC3080827,2013-03-28 06:10:06,21453461.0,CC BY
336323,oa_package/de/1b/PMC3084508.tar.gz,Arthritis Rheum. 2011 Mar; 63(3):645-653,PMC3084508,2012-09-28 17:47:22,21061259.0,CC BY
336895,oa_package/42/fd/PMC3085748.tar.gz,Support Care Cancer. 2010 Jan 21; 18(1):43-49,PMC3085748,2011-06-06 20:20:59,19381693.0,NO-CC CODE
348724,oa_package/4d/cd/PMC3112401.tar.gz,Nutr J. 2011 May 6; 10:42,PMC3112401,2013-03-28 06:42:21,21548959.0,CC BY
348789,oa_package/e4/ed/PMC3112487.tar.gz,Arthritis Rheum. 2011 Mar; 63(3):830-839,PMC3112487,2012-09-28 18:43:10,21360512.0,CC BY
354281,oa_package/ac/da/PMC3123680.tar.gz,Microb Biotechnol. 2011 Sep 17; 4(5):558-571,PMC3123680,2014-02-12 19:07:20,21375713.0,NO-CC CODE
356754,oa_package/10/63/PMC3130093.tar.gz,Pharmacogenomics J. 2012 Aug 1; 12(4):319-327,PMC3130093,2016-02-03 20:18:29,21358750.0,NO-CC CODE
358567,oa_package/95/85/PMC3134562.tar.gz,Pharmacogenomics J. 2012 Aug 8; 12(4):328-341,PMC3134562,2016-02-04 10:25:54,21383773.0,NO-CC CODE
358570,oa_package/ba/6a/PMC3134610.tar.gz,Pharmacogenomics J. 2012 Aug 5; 12(4):342-348,PMC3134610,2016-02-05 10:27:17,21468025.0,NO-CC CODE
376946,oa_package/ed/2f/PMC3176400.tar.gz,Biol Trace Elem Res. 2011 Oct 1; 143(1):1-7,PMC3176400,2013-03-28 07:52:49,20809268.0,NO-CC CODE
378387,oa_package/ec/a0/PMC3179727.tar.gz,J Transl Med. 2011 Aug 26; 9:143,PMC3179727,2011-09-24 20:22:33,21871084.0,CC BY
378427,oa_package/a5/11/PMC3179823.tar.gz,Mol Psychiatry. 2012 Jul 21; 17(8):781-789,PMC3179823,2016-02-03 23:12:28,21691274.0,NO-CC CODE
378765,oa_package/b1/81/PMC3180426.tar.gz,Virol J. 2011 Sep 13; 8:438,PMC3180426,2013-03-28 07:57:15,21920054.0,CC BY
385955,oa_package/b8/e6/PMC3197085.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):102-109,PMC3197085,2013-03-28 08:14:34,22548033.0,CC BY
385956,oa_package/5c/7e/PMC3197086.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):110-122,PMC3197086,2013-03-28 08:14:34,22548034.0,CC BY
385957,oa_package/b5/7c/PMC3197087.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):123-134,PMC3197087,2013-03-28 08:14:34,22548035.0,CC BY
385958,oa_package/eb/7b/PMC3197088.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):50,PMC3197088,2012-05-02 19:44:32,22548026.0,CC BY
385959,oa_package/fc/68/PMC3197089.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):51-58,PMC3197089,2014-03-30 21:03:41,22548027.0,CC BY
385960,oa_package/e3/77/PMC3197090.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):59-66,PMC3197090,2013-03-28 08:14:34,22548028.0,CC BY
385961,oa_package/2c/71/PMC3197091.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):67-71,PMC3197091,2013-03-28 08:14:34,22548029.0,CC BY
385962,oa_package/97/77/PMC3197092.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):72-84,PMC3197092,2014-03-30 21:03:45,22548030.0,CC BY
385963,oa_package/af/f7/PMC3197093.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):85-91,PMC3197093,2013-03-28 08:14:35,22548031.0,CC BY
385964,oa_package/00/07/PMC3197094.tar.gz,Curr Cardiol Rev. 2011 May; 7(2):92-101,PMC3197094,2013-03-28 08:14:35,22548032.0,CC BY
389907,oa_package/f1/29/PMC3204161.tar.gz,Mol Psychiatry. 2012 Jul 19; 17(8):818-826,PMC3204161,2012-12-31 19:24:28,21769101.0,NO-CC CODE
392358,oa_package/dc/45/PMC3210601.tar.gz,Mar Drugs. 2011 Sep 26; 9(10):1682-1697,PMC3210601,2013-03-28 08:26:57,22072992.0,CC BY
392359,oa_package/46/33/PMC3210602.tar.gz,Mar Drugs. 2011 Sep 28; 9(10):1698-1714,PMC3210602,2013-03-28 08:26:57,22072993.0,CC BY
392360,oa_package/45/b4/PMC3210603.tar.gz,Mar Drugs. 2011 Sep 29; 9(10):1715-1730,PMC3210603,2013-03-28 08:26:57,22072994.0,CC BY
392361,oa_package/4e/13/PMC3210604.tar.gz,Mar Drugs. 2011 Sep 30; 9(10):1731-1760,PMC3210604,2013-03-28 08:26:57,22072995.0,CC BY
392362,oa_package/df/eb/PMC3210605.tar.gz,Mar Drugs. 2011 Oct 10; 9(10):1761-1805,PMC3210605,2013-03-28 08:26:57,22072996.0,CC BY
392363,oa_package/ad/eb/PMC3210606.tar.gz,Mar Drugs. 2011 Oct 10; 9(10):1806-1828,PMC3210606,2013-03-28 08:26:58,22072997.0,CC BY
392364,oa_package/b0/00/PMC3210607.tar.gz,Mar Drugs. 2011 Oct 10; 9(10):1829-1839,PMC3210607,2011-11-11 20:49:34,22072998.0,CC BY
392365,oa_package/fc/4a/PMC3210608.tar.gz,Mar Drugs. 2011 Oct 10; 9(10):1840-1859,PMC3210608,2013-03-28 08:26:58,22072999.0,CC BY
392366,oa_package/cd/7f/PMC3210609.tar.gz,Mar Drugs. 2011 Oct 10; 9(10):1860-1886,PMC3210609,2014-02-09 15:22:31,22073000.0,CC BY
392367,oa_package/43/26/PMC3210610.tar.gz,Mar Drugs. 2011 Oct 11; 9(10):1887-1901,PMC3210610,2011-11-11 20:41:20,22073001.0,CC BY
392368,oa_package/03/e3/PMC3210611.tar.gz,Mar Drugs. 2011 Oct 14; 9(10):1902-1913,PMC3210611,2013-03-28 08:26:58,22073002.0,CC BY
392369,oa_package/08/ce/PMC3210612.tar.gz,Mar Drugs. 2011 Oct 14; 9(10):1914-1954,PMC3210612,2013-03-28 08:26:58,22073003.0,CC BY
392370,oa_package/89/0f/PMC3210613.tar.gz,Mar Drugs. 2011 Oct 17; 9(10):1955-1968,PMC3210613,2011-11-11 20:49:23,22073004.0,CC BY
392371,oa_package/5d/2d/PMC3210614.tar.gz,Mar Drugs. 2011 Oct 19; 9(10):1969-1994,PMC3210614,2013-03-28 08:26:58,22073005.0,CC BY
392372,oa_package/8e/6c/PMC3210615.tar.gz,Mar Drugs. 2011 Oct 19; 9(10):1995-2009,PMC3210615,2013-03-28 08:26:58,22073006.0,CC BY
392373,oa_package/47/14/PMC3210616.tar.gz,Mar Drugs. 2011 Oct 19; 9(10):2010-2035,PMC3210616,2014-04-18 07:40:18,22073007.0,CC BY
392374,oa_package/ba/40/PMC3210617.tar.gz,Mar Drugs. 2011 Oct 19; 9(10):2036-2045,PMC3210617,2011-11-11 20:52:50,22073008.0,CC BY
392375,oa_package/41/af/PMC3210618.tar.gz,Mar Drugs. 2011 Oct 20; 9(10):2046-2074,PMC3210618,2015-12-16 06:48:39,22073009.0,CC BY
392376,oa_package/6b/d0/PMC3210619.tar.gz,Mar Drugs. 2011 Oct 24; 9(10):2075-2088,PMC3210619,2013-03-28 08:26:59,22073010.0,CC BY
392377,oa_package/a6/2b/PMC3210620.tar.gz,Mar Drugs. 2011 Oct 24; 9(10):2089-2105,PMC3210620,2014-02-09 15:22:21,22073011.0,CC BY
392378,oa_package/ad/2e/PMC3210621.tar.gz,Mar Drugs. 2011 Oct 24; 9(10):2106-2130,PMC3210621,2013-03-28 08:26:59,22073012.0,CC BY
392379,oa_package/62/b9/PMC3210622.tar.gz,Mar Drugs. 2011 Oct 24; 9(10):2131-2154,PMC3210622,2014-03-30 23:14:26,22073013.0,CC BY
392380,oa_package/3f/06/PMC3210623.tar.gz,Mar Drugs. 2011 Oct 24; 9(10):2155-2163,PMC3210623,2013-03-28 08:26:59,22073014.0,CC BY
394451,oa_package/94/1e/PMC3214255.tar.gz,Eur J Clin Pharmacol. 2011 Dec 9; 67(12):1253-1261,PMC3214255,2013-03-28 08:30:14,21656212.0,NO-CC CODE
394460,oa_package/ae/d9/PMC3214266.tar.gz,Eur J Clin Pharmacol. 2011 Dec 23; 67(12):1231-1241,PMC3214266,2013-03-28 08:30:14,21698374.0,NO-CC CODE
396624,oa_package/8a/6f/PMC3218847.tar.gz,Genome Biol. 2011 Jun 23; 12(6):R59,PMC3218847,2012-10-12 13:18:31,21699709.0,CC BY
396953,oa_package/f2/09/PMC3219314.tar.gz,Crit Care. 2011 Mar 9; 15(2):407,PMC3219314,2012-03-08 19:20:54,21418550.0,NO-CC CODE
396954,oa_package/a3/8f/PMC3219315.tar.gz,Crit Care. 2011 Mar 7; 15(2):408,PMC3219315,2012-03-06 19:20:59,21418549.0,NO-CC CODE
397233,oa_package/7b/4f/PMC3219703.tar.gz,J Exp Clin Cancer Res. 2011 Oct 25; 30(1):102,PMC3219703,2014-03-13 12:28:18,22027017.0,CC BY
402192,oa_package/0f/9e/PMC3229984.tar.gz,Arthritis Rheum. 2011 Oct; 63(10):2854-2864,PMC3229984,2011-12-05 20:32:14,21618201.0,CC BY
412052,oa_package/d0/3b/PMC3248883.tar.gz,Virol J. 2011 Dec 8; 8:525,PMC3248883,2011-12-30 19:21:19,22151967.0,CC BY
412318,oa_package/9c/cf/PMC3249541.tar.gz,J Ind Microbiol Biotechnol. 2012 Jan 12; 39(1):163-173,PMC3249541,2013-03-28 09:04:28,21748309.0,NO-CC CODE
412910,oa_package/8b/80/PMC3250562.tar.gz,J Cell Mol Med. 2012 Jul 28; 16(7):1573-1581,PMC3250562,2015-03-27 20:08:02,21914127.0,NO-CC CODE
413003,oa_package/c0/9c/PMC3250942.tar.gz,Mol Pain. 2011 Oct 24; 7:82,PMC3250942,2013-03-28 09:05:42,22023852.0,CC BY
413129,oa_package/cd/27/PMC3251546.tar.gz,Virol J. 2011 Nov 29; 8:524,PMC3251546,2013-03-28 09:06:07,22126628.0,CC BY
413828,oa_package/c5/44/PMC3253065.tar.gz,Virol J. 2011 Dec 9; 8:527,PMC3253065,2013-03-28 09:07:41,22152023.0,CC BY
413894,oa_package/3a/07/PMC3253131.tar.gz,Virol J. 2011 Dec 12; 8:530,PMC3253131,2013-03-28 09:07:45,22152093.0,CC BY
414278,oa_package/dd/6c/PMC3254086.tar.gz,Virol J. 2011 Nov 13; 8:517,PMC3254086,2013-03-28 09:09:01,22078868.0,CC BY
414322,oa_package/0b/fa/PMC3254192.tar.gz,Virol J. 2011 Dec 8; 8:526,PMC3254192,2015-03-27 12:50:10,22152002.0,CC BY
415306,oa_package/89/92/PMC3256129.tar.gz,Virol J. 2011 Nov 1; 8:495,PMC3256129,2013-03-28 09:10:24,22044460.0,CC BY
415414,oa_package/ae/35/PMC3256239.tar.gz,Virol J. 2011 Nov 14; 8:518,PMC3256239,2013-03-28 09:10:33,22078891.0,CC BY
415668,oa_package/4e/91/PMC3257212.tar.gz,Virol J. 2011 Dec 22; 8:558,PMC3257212,2013-03-28 09:11:24,22192090.0,CC BY
416637,oa_package/05/c4/PMC3259116.tar.gz,J Exp Clin Cancer Res. 2011 Dec 29; 30(1):116,PMC3259116,2013-03-28 09:13:38,22206623.0,CC BY
417030,oa_package/2a/62/PMC3260119.tar.gz,Virol J. 2011 Dec 20; 8:550,PMC3260119,2013-03-28 09:14:44,22185375.0,CC BY
417149,oa_package/a4/7b/PMC3260243.tar.gz,Virol J. 2011 Dec 15; 8:543,PMC3260243,2012-01-17 19:21:48,22171842.0,CC BY
417260,oa_package/78/33/PMC3260429.tar.gz,J Mol Neurosci. 2012 Jan 7; 46(1):18-32,PMC3260429,2012-01-31 19:20:45,21647713.0,NO-CC CODE
417265,oa_package/62/f7/PMC3260434.tar.gz,J Mol Neurosci. 2012 Jan 6; 46(1):10-17,PMC3260434,2013-03-28 09:15:10,21547533.0,NO-CC CODE
417643,oa_package/fe/76/PMC3261322.tar.gz,Mol Psychiatry. 2012 Sep 12; 17(9):918-925,PMC3261322,2016-02-05 10:28:53,21747399.0,NO-CC CODE
417880,oa_package/93/e2/PMC3261835.tar.gz,Virol J. 2011 Nov 4; 8:507,PMC3261835,2014-02-09 16:48:10,22054420.0,CC BY
418075,oa_package/03/8a/PMC3262108.tar.gz,Bone Marrow Transplant. 2012 Jul 17; 47(7):924-933,PMC3262108,2016-11-10 10:36:56,22002488.0,NO-CC CODE
418117,oa_package/b9/96/PMC3262190.tar.gz,Breast Cancer Res. 2011 Oct 25; 13(5):216,PMC3262190,2015-05-21 11:15:11,22067349.0,NO-CC CODE
418118,oa_package/f9/47/PMC3262191.tar.gz,Breast Cancer Res. 2011 Oct 25; 13(5):222,PMC3262191,2012-06-25 17:02:34,22078011.0,NO-CC CODE
418119,oa_package/6c/4a/PMC3262192.tar.gz,Breast Cancer Res. 2011 Sep 7; 13(5):314,PMC3262192,2012-09-29 03:23:03,21996371.0,NO-CC CODE
418120,oa_package/5d/9c/PMC3262193.tar.gz,Breast Cancer Res. 2011 Oct 12; 13(5):220,PMC3262193,2012-09-29 03:23:03,22018398.0,NO-CC CODE
418121,oa_package/5a/e2/PMC3262194.tar.gz,Breast Cancer Res. 2011 Sep 29; 13(5):219,PMC3262194,2012-06-25 17:02:35,22017761.0,NO-CC CODE
418122,oa_package/ae/c2/PMC3262195.tar.gz,Breast Cancer Res. 2011 Nov 2; 13(5):R85,PMC3262195,2012-06-25 17:02:39,21888627.0,CC BY
